{'batch_size': 128, 'prefix_filter': None, 'max_length': 15, 'epoch_num': 5000, 'try_one_batch': False, 'learning_rate': 0.001, 'device': 'cuda', 'filename': '../data/rus.txt', 'train_size': 0.8, 'embedding_size': 256, 'hidden_size': 256, 'src_vocab_size': 4000, 'tgt_vocab_size': 4000}
{'val_loss': 1.7327669858932495, 'train_loss': 0.4890865087509155, 'bleu_score': 0.20467374325039345}
{'val_loss': 1.732738733291626, 'train_loss': 0.4892042875289917, 'bleu_score': 0.14205299939144905}
{'val_loss': 1.7327311038970947, 'train_loss': 0.48928648233413696, 'bleu_score': 0.1737470078323876}
{'val_loss': 1.7327179908752441, 'train_loss': 0.4895896911621094, 'bleu_score': 0.17280202262556882}
{'val_loss': 1.7326651811599731, 'train_loss': 0.48938998579978943, 'bleu_score': 0.1737206566249866}
{'val_loss': 1.7327030897140503, 'train_loss': 0.4891442358493805, 'bleu_score': 0.1634681790692527}
{'val_loss': 1.7327316999435425, 'train_loss': 0.48921650648117065, 'bleu_score': 0.20254373616360744}
{'val_loss': 1.7326514720916748, 'train_loss': 0.4892900586128235, 'bleu_score': 0.16349458270766815}
{'val_loss': 1.7326388359069824, 'train_loss': 0.48939722776412964, 'bleu_score': 0.19438783685088643}
{'val_loss': 1.7326245307922363, 'train_loss': 0.48937246203422546, 'bleu_score': 0.20572249114238073}
{'val_loss': 1.7327063083648682, 'train_loss': 0.48947450518608093, 'bleu_score': 0.22951449732370943}
{'val_loss': 1.732743263244629, 'train_loss': 0.4890754222869873, 'bleu_score': 0.13844008565140425}
{'val_loss': 1.732753038406372, 'train_loss': 0.4898128807544708, 'bleu_score': 0.1763166254532865}
{'val_loss': 1.7327414751052856, 'train_loss': 0.4896346628665924, 'bleu_score': 0.22491380862866983}
{'val_loss': 1.732685923576355, 'train_loss': 0.48940756916999817, 'bleu_score': 0.17224555917884532}
{'val_loss': 1.7326911687850952, 'train_loss': 0.48912695050239563, 'bleu_score': 0.18771118454012636}
{'val_loss': 1.7326973676681519, 'train_loss': 0.48983991146087646, 'bleu_score': 0.19463149007703448}
{'val_loss': 1.732730746269226, 'train_loss': 0.48919618129730225, 'bleu_score': 0.19016846842609214}
{'val_loss': 1.7326951026916504, 'train_loss': 0.4889451563358307, 'bleu_score': 0.16311816821124142}
{'val_loss': 1.7327055931091309, 'train_loss': 0.48909991979599, 'bleu_score': 0.2072887553620434}
{'val_loss': 1.7326786518096924, 'train_loss': 0.48938241600990295, 'bleu_score': 0.15885921251280816}
{'val_loss': 1.7327454090118408, 'train_loss': 0.48880255222320557, 'bleu_score': 0.19030861105269298}
{'val_loss': 1.732668399810791, 'train_loss': 0.48958003520965576, 'bleu_score': 0.2608151102664632}
{'val_loss': 1.7327501773834229, 'train_loss': 0.4893469214439392, 'bleu_score': 0.24625411475030684}
